Kasus_ID,Perkara_Kasus,Deskripsi_Kasus,NIK,Pengacara_ID,Staf_ID,Tgl_Daftar,Tgl_Mulai,Tgl_Selesai,Hasil,Status_Kasus
500001,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 500001 untuk NIK 10001135,10001135,237,47,2023-04-01,2026-05-24,2026-06-27,Banding Menang,Banding
500002,Keluarga: Cerai Gugat,Kasus Keluarga: Cerai Gugat No. 500002 untuk NIK 10009196,10009196,174,263,2025-03-05,2026-02-27,2026-11-15,Kalah,Selesai
500003,Pidana: Narkotika,Kasus Pidana: Narkotika No. 500003 untuk NIK 10006567,10006567,107,586,2024-07-31,2024-10-11,2025-08-15,Kalah,Selesai
500004,Pidana: Penggelapan,Kasus Pidana: Penggelapan No. 500004 untuk NIK 10004268,10004268,196,935,2025-06-10,2026-07-22,2026-09-03,Banding Kalah,Banding
500005,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 500005 untuk NIK 10005671,10005671,706,730,2024-05-13,2026-10-16,,,Proses
500006,Bisnis: Wanprestasi,Kasus Bisnis: Wanprestasi No. 500006 untuk NIK 10008792,10008792,864,383,2026-08-15,2026-08-29,,,Proses
500007,Tata Usaha Negara: Sengketa Izin,Kasus Tata Usaha Negara: Sengketa Izin No. 500007 untuk NIK 10001928,10001928,493,427,2023-06-10,2024-09-10,,,Pending
500008,Hukum Properti: Jual Beli,Kasus Hukum Properti: Jual Beli No. 500008 untuk NIK 10003864,10003864,262,628,2024-12-31,2025-01-17,2025-05-19,Menang,Selesai
500009,Pidana: Narkotika,Kasus Pidana: Narkotika No. 500009 untuk NIK 10008777,10008777,23,804,2026-07-25,2026-08-14,2026-11-11,Damai,Selesai
500010,Pidana: Narkotika,Kasus Pidana: Narkotika No. 500010 untuk NIK 10002702,10002702,251,687,2026-11-15,2026-12-02,,,Pending
500011,Perdata: Gugatan Perbankan,Kasus Perdata: Gugatan Perbankan No. 500011 untuk NIK 10008935,10008935,522,285,2026-03-18,2026-08-24,,,Pending
