Penagihan_ID,NIK,LH_ID,Kasus_ID,Staf_ID,Tgl_Penagihan,Status_Penagihan,Tgl_Bayar,Biaya_Admin,Biaya_PendaftaranPgd,Biaya_SalinanPts,Biaya_Layanan_Hukum
70001,100862,214,50001,982,2025-12-03,Lunas,2025-12-25,20000,3148777,50000,48776833
70002,100580,718,50002,750,2025-07-01,Belum Lunas,,30000,233720,50000,778195
70003,100261,970,50003,516,2025-11-07,Lunas,2025-11-22,50000,3519660,20000,4002086
70004,100988,142,50004,959,2025-05-08,Belum Lunas,,30000,1654526,20000,2459808
70005,100282,542,50005,824,2025-12-23,Lunas,2025-12-26,50000,3588833,20000,3650378
70006,100116,182,50006,775,2025-05-27,Belum Lunas,,30000,2935826,10000,7726564
70007,100993,706,50007,39,2025-12-23,Lunas,2026-01-19,30000,4291062,10000,2193875
70008,100905,161,50008,75,2025-05-21,Lunas,2025-06-11,50000,4424728,50000,8117452
70009,100713,549,50009,831,2025-12-18,Lunas,2026-01-02,30000,198830,50000,36492580
70010,100348,586,50010,988,2025-12-10,Lunas,2025-12-19,20000,505858,20000,35642254
70011,100899,22,50011,985,2025-09-15,Lunas,2025-10-09,30000,2929581,50000,7096854
70012,100787,657,50012,524,2025-12-24,Lunas,2026-01-12,30000,1445561,10000,33804884
70013,100293,209,50013,200,2025-03-23,Lunas,2025-03-23,30000,753218,10000,9589399
70014,100938,719,50014,481,2024-06-19,Lunas,2024-06-22,20000,1360405,20000,9684796
70015,100613,101,50015,369,2025-09-06,Lunas,2025-10-03,30000,4787177,10000,16636094
70016,100994,392,50016,994,2025-12-11,Belum Lunas,,30000,2192075,10000,1293782
70017,100588,546,50017,935,2025-09-18,Belum Lunas,,50000,2442099,50000,1639373
70018,100929,534,50018,79,2024-11-23,Lunas,2024-12-03,50000,4537056,20000,43761425
70019,100230,126,50019,761,2025-10-10,Lunas,2025-11-03,30000,3847036,20000,5108979
70020,100370,61,50020,466,2025-09-01,Lunas,2025-09-08,20000,194826,20000,11431734
70021,100005,397,50021,162,2025-10-22,Lunas,2025-10-29,50000,4940673,10000,7883819
70022,100621,928,50022,747,2025-07-07,Lunas,2025-08-01,20000,195734,20000,519368
70023,100588,546,50023,224,2025-08-27,Belum Lunas,,30000,4906903,50000,1639373
70024,100028,850,50024,310,2025-06-15,Belum Lunas,,50000,4007468,20000,4781891
70025,100700,160,50025,240,2025-12-29,Lunas,2025-12-29,20000,2761226,20000,6214763
70026,100518,619,50026,372,2025-12-27,Lunas,2026-01-21,50000,2717992,10000,37078779
70027,100152,928,50027,631,2025-03-09,Lunas,2025-03-18,50000,1585621,50000,519368
70028,100321,54,50028,84,2025-12-29,Belum Lunas,,20000,1535783,20000,7667959
70029,100220,422,50029,335,2025-08-22,Lunas,2025-09-16,20000,3291008,20000,34431200
70030,100521,535,50030,942,2025-04-22,Lunas,2025-05-19,20000,3827217,10000,1661147
70031,100625,280,50031,594,2024-12-05,Lunas,2024-12-07,20000,4082773,20000,4185402
70032,100534,813,50032,84,2025-11-03,Lunas,2025-11-16,50000,4014422,10000,1821022
70033,100916,402,50033,674,2025-01-05,Lunas,2025-01-13,20000,3244510,20000,5334298
70034,100365,657,50034,565,2024-11-06,Lunas,2024-11-16,30000,2825110,20000,33804884
70035,100499,840,50035,393,2025-12-27,Lunas,2026-01-18,50000,3301561,20000,13878596
70036,100230,126,50036,715,2025-07-22,Lunas,2025-07-26,30000,2666460,20000,5108979
70037,100635,923,50037,95,2025-09-13,Lunas,2025-09-30,30000,3789468,10000,2807791
70038,100460,947,50038,399,2025-02-25,Lunas,2025-03-18,50000,1004256,50000,9775284
70039,100111,80,50039,639,2025-03-17,Belum Lunas,,20000,3451980,10000,2376715
70040,100351,734,50040,157,2025-08-26,Lunas,2025-09-07,30000,909003,20000,1547091
70041,100415,720,50041,114,2025-11-09,Lunas,2025-12-02,30000,1692163,50000,9096804
70042,100275,499,50042,646,2025-09-13,Lunas,2025-09-14,20000,4324254,50000,2123275
70043,100308,641,50043,715,2024-11-05,Belum Lunas,,20000,608335,50000,6030611
70044,100111,80,50044,582,2025-06-19,Lunas,2025-07-02,30000,2244080,20000,2376715
70045,100579,690,50045,303,2025-06-22,Lunas,2025-07-07,20000,4856039,20000,2999652
70046,100333,641,50046,612,2025-12-27,Lunas,2026-01-07,50000,399996,20000,6030611
70047,100556,112,50047,466,2025-01-17,Lunas,2025-01-18,50000,769781,10000,9513651
70048,100834,963,50048,539,2025-10-28,Lunas,2025-11-25,50000,4979921,20000,3208180
70049,100043,184,50049,80,2024-03-28,Lunas,2024-04-12,20000,4518168,10000,1933074
70050,100413,919,50050,35,2025-12-30,Lunas,2026-01-23,50000,4645064,10000,1595533
70051,100018,157,50051,910,2024-09-30,Lunas,2024-10-26,30000,4450816,10000,2437019
70052,100847,148,50052,981,2024-03-23,Lunas,2024-04-08,50000,4309277,20000,7113743
70053,100200,434,50053,899,2025-05-15,Lunas,2025-06-04,50000,268786,50000,9001101
