NIK,Nama_Klien,Tgl_Daftar,No_Tlp_K,Email_K,Alamat_K,Gender_K,Tmpt_tgl_lhr_K,Tgl_lhr_K,Jenis_LH
100001,"Ira Handayani, M.TI.",2024-11-11,+62 (0171) 064-,klien1_sport-treat-media@cv.mil.id,"Jalan Ciumbuleuit No. 45, Kupang, Kalimantan Barat 46279",Wanita,Pagaralam,1995-11-11,376
100002,Dr. Galak Rahmawati,2024-05-30,+62-018-063-613,klien2_value-increase@pd.gov,"Jl. Otto Iskandardinata No. 4, Pekanbaru, Jambi 47365",Wanita,Medan,1971-11-14,340
100003,Danang Manullang,2025-01-27,0899253580,klien3_amount-reach-ready@pd.edu,"Jalan Laswi No. 108, Padang Sidempuan, Maluku 32076",Laki-Laki,Surakarta,1987-09-26,870
100004,Mutia Riyanti,2024-04-17,+62 (582) 038 5,klien4_he-receive-table@pd.biz.id,"Gg. Moch. Ramdan No. 837, Kota Administrasi Jakarta Pusat, Maluku 29801",Laki-Laki,Tebingtinggi,1982-07-30,409
100005,Baktianto Sirait,2025-10-10,+62-0589-931-24,klien5_various-manager@ud.id,"Gg. Rajiman No. 76, Prabumulih, DKI Jakarta 95071",Wanita,Bitung,1997-11-22,397
100006,Ir. Humaira Hariyah,2025-02-15,+62 (062) 013 1,klien6_never-beat-finally@pt.gov,"Gg. Cihampelas No. 775, Tomohon, MA 59496",Wanita,Kota Administrasi Jakarta Timur,1975-06-17,494
100007,"KH. Teguh Ardianto, S.E.I",2025-04-08,+62 (0590) 101-,klien7_various-especially@perum.desa.id,"Gg. Pacuan Kuda No. 3, Kotamobagu, Jawa Barat 80764",Laki-Laki,Tanjungpinang,2002-10-09,946
100008,"Sutan Danang Hassanah, M.Farm",2024-07-14,+62-20-758-4222,klien8_woman-reveal-upon@ud.desa.id,"Gg. Raya Ujungberung No. 46, Pekalongan, PB 01346",Laki-Laki,Jayapura,2000-02-12,751
100009,"Puti Mutia Santoso, S.Kom",2024-11-07,+62 (540) 238-3,klien9_policy-clear-dog@perum.mil.id,"Gg. Cihampelas No. 72, Tangerang, Sumatera Utara 98857",Laki-Laki,Denpasar,1983-04-16,743
100010,Luwar Gunarto,2025-08-05,+62 (89) 236-66,klien10_day-model-pretty@pt.edu,"Jl. KH Amin Jasuta No. 6, Surakarta, JB 19775",Wanita,Parepare,1984-10-09,748
100011,"Saiful Utami, M.Pd",2024-03-05,+62 (090) 338-9,klien11_character-threat@pt.desa.id,"Gg. Waringin No. 131, Tebingtinggi, Papua 23822",Laki-Laki,Singkawang,2001-07-30,374
100012,"Sutan Arta Permata, S.E.I",2025-11-09,+62 (0952) 598 ,klien12_another-range-boy@perum.edu,"Gg. Sadang Serang No. 81, Banjarbaru, SS 27829",Wanita,Batam,1967-01-14,952
100013,R.A. Restu Pratiwi,2025-08-30,+62 (0910) 494 ,klien13_degree-world@perum.org,"Jl. Tubagus Ismail No. 303, Bitung, Kalimantan Tengah 84221",Wanita,Jayapura,1986-05-21,810
100014,Chandra Maryadi,2024-04-05,+62 (002) 139 3,klien14_even-table-yeah@cv.edu,"Jalan Ronggowarsito No. 412, Bontang, KU 52220",Wanita,Kota Administrasi Jakarta Selatan,1999-04-26,278
100015,Ihsan Pangestu,2025-05-18,0851165380,klien15_center-system-red@ud.id,"Jalan Ciumbuleuit No. 1, Salatiga, LA 53559",Wanita,Padang,1972-11-06,179
